gender,degree,stream,ssc_p,hsc_p,cgpa,workex,coding_skills,communication_skills,analytical_skills,domain_knowledge,projects,internships,certifications,placed_status,placed_sector,placed_role,salary_lpa
M,BCA,Computer Applications,64.31,77.57,7.73,No,7.4,9.0,7.0,5.0,2,0,1,Placed,Consulting,Operations Analyst,10.03
M,B.Tech,Computer Science,62.03,74.17,9.5,Yes,7.2,6.8,7.7,6.3,3,1,0,Placed,Tech,Software Engineer,14.24
M,BBA,Marketing,70.41,60.15,7.29,No,1.0,5.9,5.2,6.3,1,1,1,Placed,Consulting,Operations Analyst,5.11
F,B.Tech,Mechanical,74.35,75.71,8.25,No,1.2,8.8,5.8,9.0,0,0,1,Not Placed,Not Placed,None,
M,MBA,Business Analytics,66.06,62.77,8.47,No,1.3,7.2,8.2,6.6,0,1,1,Placed,Consulting,Business Analyst,9.39
M,B.Com,Accounting & Finance,75.38,82.67,7.38,No,2.6,5.5,9.3,8.5,0,0,0,Placed,Finance,Financial Analyst,9.4
F,B.Tech,Civil,73.06,60.29,8.43,No,5.0,7.2,4.8,8.7,1,0,1,Placed,Core Engineering,Site Engineer,6.43
M,B.Tech,Computer Science,60.02,68.87,6.79,Yes,8.3,6.1,6.9,4.4,2,0,1,Not Placed,Not Placed,None,
M,BBA,Finance,75.19,64.45,6.99,No,3.2,3.5,6.9,7.1,1,0,1,Not Placed,Not Placed,None,
F,B.Com,Accounting & Finance,78.64,60.12,5.93,No,3.4,7.9,7.4,6.7,2,0,1,Not Placed,Not Placed,None,
M,B.Com,General Commerce,71.71,77.41,7.79,No,2.3,8.1,6.9,8.7,0,0,1,Placed,Finance,Investment Banking Analyst,7.71
F,B.Com,General Commerce,81.53,75.35,7.89,No,4.5,9.3,8.2,4.7,2,2,1,Placed,Consulting,Business Analyst,11.47
M,B.Tech,Information Technology,57.83,82.09,8.92,No,7.4,7.1,7.2,6.9,3,1,3,Placed,Tech,Cloud Associate,14.06
M,MCA,Computer Applications,74.68,52.2,8.45,No,6.6,6.1,6.0,6.4,2,2,0,Placed,Tech,Software Engineer,13.3
M,B.Tech,Information Technology,58.3,80.64,7.16,No,6.2,7.8,7.3,5.5,2,1,0,Placed,Consulting,Operations Analyst,9.02
M,BBA,Marketing,58.86,95.05,6.09,Yes,3.6,7.8,6.0,4.1,0,0,2,Not Placed,Not Placed,None,
M,B.Sc,Biotech,63.69,65.48,8.02,No,3.0,9.0,7.1,8.8,1,0,2,Placed,Consulting,Business Analyst,10.08
F,B.Tech,Information Technology,60.58,88.95,8.83,No,8.0,6.4,8.6,5.7,2,1,0,Placed,Tech,Data Analyst,14.81
M,B.Tech,Information Technology,64.52,67.37,8.41,No,6.8,6.3,3.4,5.0,3,1,1,Not Placed,Not Placed,None,
M,B.Tech,Information Technology,67.86,56.28,8.8,No,7.3,5.4,7.7,4.8,2,2,0,Placed,Tech,Data Analyst,14.68
M,B.Tech,Information Technology,78.37,66.94,7.25,No,9.0,7.3,4.2,5.2,4,0,1,Placed,Tech,Software Engineer,13.69
F,B.Com,Accounting & Finance,66.79,80.48,6.94,No,1.1,4.2,7.2,5.7,1,1,0,Placed,Finance,Tax Consultant,6.8
M,B.Sc,Physics,54.14,61.62,6.62,No,3.3,7.7,5.5,3.3,0,0,0,Placed,Consulting,Business Analyst,7.21
M,BBA,Marketing,81.4,64.0,7.43,No,3.8,7.4,4.7,8.6,0,0,1,Placed,Marketing & HR,HR Recruiter,7.8
M,BCA,Computer Applications,61.63,75.94,7.41,Yes,8.4,7.4,7.5,7.5,2,2,3,Placed,Tech,Software Engineer,14.93
M,B.Tech,Mechanical,69.41,70.03,7.75,No,5.8,6.7,7.0,5.8,0,0,1,Placed,Consulting,Strategy Consultant,7.75
M,B.Com,General Commerce,74.47,75.85,7.34,No,1.3,8.8,5.0,7.6,2,1,0,Placed,Consulting,Business Analyst,7.8
F,B.Com,Accounting & Finance,72.0,72.38,7.34,No,1.9,7.8,6.5,7.6,1,0,0,Not Placed,Not Placed,None,
M,B.Sc,Mathematics,80.94,74.8,6.57,No,2.4,5.6,6.2,6.3,1,1,0,Placed,Consulting,Operations Analyst,5.81
M,B.Com,Accounting & Finance,74.79,65.68,8.63,Yes,5.0,5.6,6.5,7.2,2,1,0,Placed,Consulting,Business Analyst,7.87
M,BCA,Computer Applications,61.39,72.32,7.59,No,8.5,5.2,4.9,6.3,2,1,1,Placed,Tech,Data Analyst,14.33
F,BCA,Computer Applications,91.79,60.73,7.29,No,8.1,7.3,6.7,8.4,3,1,2,Placed,Tech,Web Developer,13.37
M,MCA,Computer Applications,71.94,82.88,6.6,No,7.9,5.0,5.1,6.0,3,1,1,Placed,Tech,Software Engineer,12.51
M,B.Tech,Computer Science,68.53,63.66,5.9,No,7.1,8.1,7.1,5.0,2,0,1,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,79.64,81.29,9.07,No,5.9,8.5,8.7,4.9,1,2,0,Not Placed,Not Placed,None,
M,B.Tech,Information Technology,72.49,67.66,8.17,No,9.5,5.2,6.3,7.6,2,0,1,Placed,Tech,Web Developer,15.43
M,B.Sc,Computer Science,73.99,72.02,5.55,No,5.8,6.2,6.7,6.5,2,1,1,Placed,Consulting,Business Analyst,6.92
M,B.Tech,Electronics,94.92,65.05,8.42,No,7.8,6.5,9.5,7.5,2,0,2,Placed,Core Engineering,Site Engineer,5.96
M,BCA,Computer Applications,67.25,59.84,8.61,No,8.0,7.8,4.7,7.4,2,1,1,Placed,Tech,Software Engineer,14.67
M,MBA,Marketing,66.82,52.55,7.65,No,3.7,8.9,8.3,8.0,0,0,2,Placed,Finance,Financial Analyst,10.54
M,B.Tech,Information Technology,71.17,59.45,9.42,No,8.3,4.0,8.1,4.8,3,1,1,Placed,Tech,Software Engineer,15.93
M,MCA,Computer Applications,80.72,66.76,7.76,Yes,7.6,6.0,7.8,5.0,2,1,1,Placed,Tech,Software Engineer,13.17
M,B.Com,Accounting & Finance,54.93,72.12,5.8,No,4.0,6.1,6.6,8.1,0,1,1,Placed,Finance,Risk Associate,7.27
F,B.Tech,Electronics,50.34,80.1,7.94,No,2.9,4.4,6.9,5.9,3,0,0,Placed,Core Engineering,Graduate Engineer Trainee,5.2
F,B.Tech,Computer Science,64.13,65.54,7.79,No,6.1,5.8,5.6,8.0,2,0,2,Not Placed,Not Placed,None,
F,B.Tech,Mechanical,53.66,61.18,6.78,No,2.1,7.1,8.1,7.5,0,0,0,Placed,Core Engineering,Graduate Engineer Trainee,4.97
F,B.Tech,Computer Science,65.75,55.57,8.19,No,8.0,6.1,8.2,6.1,3,1,2,Placed,Tech,Software Engineer,14.15
F,MBA,Marketing,75.02,74.8,5.5,Yes,1.3,4.2,8.2,8.3,1,2,2,Placed,Finance,Tax Consultant,11.89
F,BBA,Human Resources,61.09,83.83,8.69,No,2.6,10.0,6.6,6.2,0,0,0,Placed,Consulting,Business Analyst,10.57
M,B.Sc,Computer Science,55.73,82.66,6.45,No,8.9,6.9,5.4,6.6,1,0,2,Not Placed,Not Placed,None,
F,BBA,Marketing,70.69,77.1,6.32,No,4.7,6.7,6.8,6.1,1,0,1,Placed,Consulting,Strategy Consultant,7.45
M,BBA,Finance,78.63,76.39,7.36,Yes,3.3,4.9,5.8,6.1,0,1,0,Placed,Consulting,Business Analyst,6.6
M,B.Tech,Computer Science,53.05,86.98,8.02,No,6.9,6.9,8.0,7.7,3,2,1,Placed,Tech,Software Engineer,13.34
F,BBA,General Management,78.2,73.32,7.7,No,4.6,6.3,5.9,6.7,0,0,1,Not Placed,Not Placed,None,
M,BCA,Computer Applications,78.17,76.46,6.61,No,6.7,3.7,7.0,6.3,2,0,0,Not Placed,Not Placed,None,
M,BBA,Human Resources,79.54,66.79,6.89,No,5.7,4.9,4.5,5.5,1,1,1,Placed,Consulting,Operations Analyst,4.0
F,BBA,General Management,82.18,56.38,6.14,No,6.5,7.7,8.0,7.4,1,0,0,Placed,Consulting,Business Analyst,9.67
M,B.Tech,Information Technology,92.02,63.16,7.23,No,7.9,9.4,5.3,8.2,2,1,1,Not Placed,Not Placed,None,
M,B.Tech,Civil,66.44,69.91,8.79,No,1.0,7.1,7.7,5.4,2,0,1,Placed,Consulting,Business Analyst,8.73
F,B.Tech,Computer Science,71.1,70.61,7.49,No,9.0,8.2,4.8,6.8,2,2,0,Placed,Tech,Software Engineer,15.97
F,MCA,Computer Applications,65.84,89.26,8.53,No,8.9,6.3,8.0,4.8,3,1,3,Placed,Tech,Data Analyst,15.95
M,BBA,Marketing,70.02,70.81,9.25,No,4.0,6.4,7.0,5.8,0,0,0,Not Placed,Not Placed,None,
M,BBA,Human Resources,85.33,81.79,6.79,No,3.6,8.1,5.3,6.2,2,0,2,Placed,Consulting,Business Analyst,7.46
M,B.Tech,Information Technology,56.55,65.65,7.28,No,6.2,9.0,7.5,7.8,1,0,1,Placed,Consulting,Business Analyst,10.53
F,BCA,Computer Applications,61.39,66.88,10.0,No,7.3,8.5,5.6,6.5,3,1,0,Not Placed,Not Placed,None,
M,MCA,Computer Applications,83.77,56.71,9.23,No,8.2,4.9,7.6,4.7,2,0,2,Not Placed,Not Placed,None,
M,B.Tech,Electronics,80.2,62.58,5.49,No,4.5,6.4,6.1,6.6,2,0,1,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,66.37,75.27,7.96,No,9.1,6.9,3.9,8.4,3,2,0,Placed,Tech,Web Developer,16.68
M,B.Tech,Computer Science,78.54,70.08,7.5,No,7.7,6.1,5.0,9.1,4,2,1,Placed,Tech,Software Engineer,14.03
F,MBA,Operations,73.41,79.43,8.49,No,1.0,7.1,5.9,6.6,1,2,0,Placed,Consulting,Operations Analyst,6.94
M,B.Tech,Electronics,85.0,71.81,6.61,No,6.6,7.7,8.6,4.0,2,0,1,Placed,Consulting,Strategy Consultant,10.28
F,BCA,Computer Applications,70.75,66.48,6.49,No,7.6,8.0,7.9,7.8,1,0,1,Placed,Consulting,Strategy Consultant,9.86
M,B.Com,General Commerce,80.26,91.48,6.69,No,4.8,9.0,8.9,7.6,1,0,0,Not Placed,Not Placed,None,
F,MCA,Computer Applications,96.42,69.06,6.81,No,7.7,6.0,9.0,7.9,2,1,3,Placed,Tech,Data Analyst,12.43
F,MBA,Operations,75.98,81.63,8.48,Yes,5.1,4.5,5.7,8.6,1,0,1,Placed,Finance,Investment Banking Analyst,7.74
M,MBA,Finance,70.49,65.99,6.08,No,2.3,7.0,6.0,8.2,2,1,1,Placed,Finance,Financial Analyst,6.63
M,B.Tech,Computer Science,77.22,77.1,6.75,No,9.5,9.3,5.9,6.6,3,1,3,Placed,Tech,Software Engineer,15.03
M,BCA,Computer Applications,66.35,79.28,5.35,No,10.0,5.8,5.5,8.5,4,0,2,Not Placed,Not Placed,None,
F,B.Tech,Information Technology,93.88,72.08,8.71,No,7.7,7.5,3.7,6.3,1,2,1,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,71.8,46.46,9.03,No,8.0,7.5,6.5,4.9,1,0,1,Placed,Tech,Software Engineer,14.08
F,B.Tech,Computer Science,67.27,70.18,7.11,No,10.0,6.8,4.6,4.1,1,2,2,Placed,Tech,Software Engineer,17.11
F,B.Sc,Biotech,61.64,82.3,7.14,No,3.1,6.5,6.4,5.3,2,0,0,Placed,Consulting,Business Analyst,6.96
F,BCA,Computer Applications,80.97,75.27,8.04,No,6.8,5.1,9.7,5.9,1,1,1,Not Placed,Not Placed,None,
F,B.Tech,Information Technology,78.67,74.46,9.27,No,7.4,3.1,5.7,7.7,3,1,1,Placed,Tech,Web Developer,14.38
M,B.Tech,Information Technology,65.03,52.78,7.99,No,6.4,4.8,6.8,4.8,3,1,1,Placed,Tech,Web Developer,11.55
M,MBA,Marketing,75.76,62.8,6.66,No,1.3,5.9,7.9,6.7,2,0,2,Placed,Finance,Financial Analyst,10.03
M,B.Tech,Computer Science,54.91,74.11,5.56,No,9.2,8.1,6.9,4.5,2,2,0,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,71.85,74.1,6.16,No,8.0,6.3,6.9,10.0,2,0,3,Not Placed,Not Placed,None,
F,BCA,Computer Applications,74.53,82.15,7.59,No,9.9,5.7,6.0,9.1,3,2,1,Placed,Tech,Web Developer,17.36
F,MBA,Operations,87.07,68.55,6.71,No,2.3,5.2,6.2,7.0,1,1,1,Not Placed,Not Placed,None,
M,B.Tech,Information Technology,62.29,74.06,7.73,No,6.7,7.5,5.1,4.0,2,1,3,Placed,Consulting,Operations Analyst,6.55
M,B.Com,General Commerce,57.22,70.16,6.84,No,4.7,8.5,7.8,6.3,1,0,1,Placed,Consulting,Business Analyst,10.31
F,B.Com,General Commerce,61.05,60.13,6.23,No,2.0,8.1,3.9,7.2,0,1,2,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,56.63,47.44,6.09,No,7.2,7.4,8.0,4.6,4,0,2,Not Placed,Not Placed,None,
M,B.Com,General Commerce,83.37,74.31,9.37,No,5.6,4.3,4.4,7.0,1,1,1,Placed,Consulting,Operations Analyst,4.0
F,MCA,Computer Applications,85.49,71.74,8.57,No,7.7,6.0,7.9,5.3,3,1,2,Placed,Tech,QA Engineer,14.17
M,B.Sc,Biotech,73.2,63.82,9.58,No,2.5,9.4,6.0,5.4,0,0,2,Placed,Consulting,Strategy Consultant,9.39
M,B.Sc,Computer Science,82.21,53.81,8.15,Yes,6.0,8.2,4.7,6.2,2,0,2,Not Placed,Not Placed,None,
M,BCA,Computer Applications,71.34,76.3,6.98,No,7.1,4.2,7.4,5.6,2,2,2,Placed,Tech,QA Engineer,12.63
M,B.Tech,Information Technology,69.05,67.34,9.09,Yes,6.0,6.4,7.9,9.6,2,1,0,Not Placed,Not Placed,None,
F,BBA,Marketing,66.67,75.57,7.46,No,1.0,7.0,5.8,5.5,0,1,1,Placed,Consulting,Business Analyst,6.89
M,B.Tech,Computer Science,66.9,88.64,7.77,No,6.4,5.4,7.6,7.2,1,0,1,Not Placed,Not Placed,None,
M,B.Tech,Electronics,54.52,48.59,7.45,No,4.3,3.0,3.1,6.7,1,1,1,Not Placed,Not Placed,None,
M,B.Tech,Electronics,72.64,63.0,4.0,No,6.1,6.6,4.5,7.0,1,0,0,Not Placed,Not Placed,None,
F,B.Sc,Computer Science,69.6,67.91,9.43,No,5.7,5.3,8.4,7.1,0,0,0,Placed,Tech,Software Engineer,11.04
M,B.Com,General Commerce,77.45,84.55,8.09,No,3.6,5.3,6.2,7.8,1,0,1,Placed,Finance,Investment Banking Analyst,6.8
M,B.Tech,Computer Science,70.94,53.64,7.9,No,7.1,6.0,3.7,6.9,2,1,0,Placed,Tech,Software Engineer,12.6
M,BCA,Computer Applications,68.37,89.36,7.43,No,7.3,6.3,5.5,6.8,1,0,1,Not Placed,Not Placed,None,
M,B.Tech,Computer Science,61.29,71.36,7.7,No,6.4,6.5,5.1,6.6,2,0,0,Placed,Tech,Web Developer,10.28
M,B.Sc,Biotech,70.72,69.04,6.78,No,2.6,5.2,6.3,6.3,0,0,1,Placed,Consulting,Strategy Consultant,5.43
F,B.Tech,Computer Science,77.38,68.02,8.24,No,5.6,6.2,5.9,5.1,1,0,0,Placed,Consulting,Business Analyst,6.11
F,B.Com,Accounting & Finance,58.57,65.64,5.93,No,1.5,3.9,8.2,5.5,2,1,0,Not Placed,Not Placed,None,
M,MCA,Computer Applications,70.87,80.48,7.72,No,7.9,7.0,6.4,6.9,1,1,1,Not Placed,Not Placed,None,
M,MBA,Marketing,72.33,59.31,8.17,Yes,2.1,2.2,8.5,6.4,1,2,1,Placed,Finance,Financial Analyst,11.15
F,B.Tech,Information Technology,62.82,73.45,7.26,No,9.0,6.1,7.1,6.8,1,1,3,Placed,Tech,Software Engineer,14.71
M,B.Tech,Computer Science,64.12,66.16,7.95,No,7.7,7.9,7.2,6.2,1,0,0,Not Placed,Not Placed,None,
F,B.Tech,Mechanical,72.31,62.38,6.31,No,2.9,4.9,8.2,7.6,1,1,0,Placed,Core Engineering,Graduate Engineer Trainee,5.59
M,MBA,Marketing,58.67,95.86,6.34,No,4.3,7.6,5.9,6.3,1,1,0,Placed,Consulting,Strategy Consultant,7.49
F,BBA,Finance,73.5,74.19,7.78,No,4.2,8.2,8.6,9.4,0,0,2,Placed,Finance,Risk Associate,10.88
F,B.Tech,Computer Science,61.05,76.13,8.31,Yes,6.6,1.5,8.3,6.2,3,1,0,Placed,Tech,QA Engineer,12.25
F,B.Com,Accounting & Finance,80.63,81.38,5.25,No,4.3,6.3,6.9,6.2,0,0,0,Not Placed,Not Placed,None,
F,BBA,Marketing,93.38,55.79,8.13,Yes,4.3,2.2,6.7,9.4,1,0,1,Not Placed,Not Placed,None,
M,B.Sc,Mathematics,61.39,87.52,6.85,No,3.3,6.3,5.6,5.4,0,0,0,Not Placed,Not Placed,None,
F,BCA,Computer Applications,75.34,45.0,7.27,Yes,6.2,6.5,5.6,7.4,3,2,2,Placed,Tech,Software Engineer,11.64
M,B.Tech,Information Technology,62.73,62.31,5.89,No,6.8,2.8,7.8,6.5,4,1,3,Not Placed,Not Placed,None,
M,B.Tech,Information Technology,80.41,65.41,6.48,No,6.5,9.4,8.0,9.5,2,2,3,Placed,Consulting,Strategy Consultant,11.36
F,BBA,Finance,57.35,75.82,8.66,No,4.2,6.9,7.8,7.0,2,0,0,Placed,Consulting,Strategy Consultant,8.73
F,MBA,Marketing,74.81,72.19,7.54,No,4.8,5.2,7.7,6.3,2,1,2,Not Placed,Not Placed,None,
F,B.Sc,Mathematics,61.27,68.33,7.04,No,2.9,8.7,7.4,6.5,0,0,2,Placed,Consulting,Operations Analyst,10.05
M,B.Tech,Civil,67.93,69.88,7.36,Yes,4.3,3.8,6.7,8.7,0,2,0,Placed,Core Engineering,Graduate Engineer Trainee,5.97
F,B.Tech,Information Technology,59.69,60.22,8.09,No,6.8,4.7,6.2,5.7,1,0,1,Placed,Tech,Web Developer,11.3
F,B.Com,General Commerce,78.22,55.03,8.03,No,3.3,3.1,8.3,6.7,1,0,0,Placed,Finance,Risk Associate,8.18
M,BBA,Finance,61.63,77.27,7.41,No,1.0,9.2,5.8,5.7,2,0,2,Placed,Consulting,Strategy Consultant,8.97
M,BBA,Human Resources,75.52,76.94,8.81,No,3.5,7.0,7.1,6.3,0,1,0,Not Placed,Not Placed,None,
M,B.Com,General Commerce,66.56,85.84,8.66,No,4.5,7.5,5.3,6.8,1,0,1,Placed,Consulting,Strategy Consultant,6.78
M,B.Sc,Mathematics,68.86,62.1,8.0,No,1.9,7.0,5.5,4.9,1,0,1,Placed,Consulting,Business Analyst,6.46
F,B.Tech,Civil,71.48,76.93,7.57,Yes,3.4,7.4,6.1,5.9,1,0,0,Not Placed,Not Placed,None,
F,B.Tech,Computer Science,62.38,67.16,8.29,No,6.8,6.6,5.3,8.8,3,1,3,Placed,Tech,Software Engineer,12.45
